	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_187_7.txt	187	7	18.42948	18.51753	15.8917	16.71234	16.56936	19.16929	17.4987	16.42378	16.35287	17.52633	18.95284	16.59226	17.98677	15.98944	18.09619	18.24299	16.67399	17.53484	15.49817	16.95472	18.47139	16.01686	16.6323	17.29304	18.1705	16.66917	18.82245	18.60204	16.48637	14.50392
alpha_rarefaction_187_8.txt	187	8	18.05879	17.77798	15.1797	16.59308	17.73495	17.11269	17.80642	17.43684	16.27039	18.25628	18.09349	17.17747	16.36832	15.93491	16.55502	18.46628	16.24511	18.68692	19.66249	16.78893	18.77495	17.92754	16.51901	17.45882	17.41724	18.48551	17.63818	15.86088	14.74856	16.16444
alpha_rarefaction_187_9.txt	187	9	18.32304	17.81132	15.99081	17.13512	15.40307	17.2106	17.22413	15.96407	16.99432	17.83125	17.08366	17.26491	16.30662	16.12054	18.48818	18.26184	18.32591	18.78355	17.07536	17.03866	16.9811	16.79834	17.5188	19.77221	17.09402	19.27122	17.14466	16.58098	17.108	15.72073
alpha_rarefaction_246_0.txt	246	0	19.85092	20.90073	18.07916	19.41867	19.7667	19.81109	19.49806	19.03984	18.49662	20.16706	21.51199	20.45347	21.02366	16.85901	20.35787	19.16357	19.57512	20.42361	19.87113	19.98219	20.51857	19.2962	19.96688	23.58879	21.189	19.55322	20.12598	20.6335	18.84631	18.36979
alpha_rarefaction_246_1.txt	246	1	21.84388	19.03962	20.66009	19.41694	19.23278	19.72126	19.26353	19.13657	18.18223	20.14649	21.91385	19.65083	19.74647	18.22195	20.80906	19.76576	18.93186	21.13918	18.89277	18.94616	19.02081	18.64432	19.44887	21.05384	21.60309	22.78161	20.98412	21.38434	18.51237	17.62447
alpha_rarefaction_246_2.txt	246	2	20.11633	19.43283	19.45175	17.72483	20.06672	21.04492	19.98326	20.69023	19.64974	21.32025	20.02392	19.39868	20.33287	20.76724	18.86497	21.14351	18.13161	21.0372	20.69835	21.04541	21.10153	19.63599	20.83467	20.19448	20.70548	20.31764	19.24244	19.73135	21.42903	18.20707
alpha_rarefaction_246_3.txt	246	3	20.62036	20.14707	19.8613	19.21328	19.57256	19.66434	18.51096	19.42419	20.57736	19.76533	20.79076	21.12165	21.19356	19.76895	19.45071	21.13051	19.23195	19.70423	20.20296	18.73206	22.00142	18.05847	19.55103	21.34832	22.33337	18.87481	19.47529	19.88536	18.49547	18.78819
alpha_rarefaction_246_4.txt	246	4	19.87635	20.27368	19.52232	18.79634	18.54848	19.15299	19.88091	20.63053	18.32313	18.55623	20.87041	19.00411	19.94744	17.93171	20.1354	20.30956	18.11611	21.23736	20.87181	20.4673	20.02262	18.73351	21.78678	19.38372	20.94376	21.16411	19.86184	19.48791	17.96558	18.19337
alpha_rarefaction_246_5.txt	246	5	19.90004	20.2369	18.63634	19.11674	18.41915	19.43467	20.22595	18.96952	20.83823	20.4328	20.21707	18.95292	21.15099	19.41676	18.72597	20.42884	18.7075	19.19734	21.1231	19.10673	19.82533	19.62706	20.61991	21.61195	20.57518	20.39317	20.52876	20.36595	18.12439	18.01509
alpha_rarefaction_246_6.txt	246	6	20.31439	20.69608	19.16722	20.27613	19.94907	20.01165	20.2155	21.18	18.64383	20.13914	21.60446	19.53691	21.54176	17.70501	19.18237	19.39018	20.54397	19.99514	19.95085	19.61203	19.00336	17.96772	18.81807	21.0678	19.59117	20.33855	18.85395	20.19327	17.54694	15.96529
alpha_rarefaction_246_7.txt	246	7	20.4818	18.90104	18.68207	20.09888	18.21417	18.93459	19.75771	18.9889	20.21153	20.78523	20.7419	20.33015	20.55336	18.61223	20.39923	21.59241	20.42549	20.22554	19.73858	20.17494	21.07097	19.09128	19.46188	21.50167	20.5566	20.59826	20.2628	19.54778	19.26478	18.48866
alpha_rarefaction_246_8.txt	246	8	20.80397	21.03841	19.12758	18.63149	19.26084	19.4473	18.80673	18.74555	18.75056	19.75493	19.32697	21.03743	19.14773	18.81824	19.22407	21.79411	19.72101	19.97637	20.83082	20.24786	20.24739	19.94861	20.04862	21.23584	20.4814	22.6334	19.84535	18.94398	17.74633	18.13853
alpha_rarefaction_246_9.txt	246	9	20.96007	19.28449	19.29661	18.25549	19.17725	19.73293	19.49962	18.72174	19.7639	18.92476	21.18781	18.61978	18.6325	18.8394	19.7774	21.19282	19.74913	21.01789	20.8029	18.95509	21.86372	17.74782	20.26902	21.38552	20.46918	20.28928	17.89529	20.16769	19.59672	17.38058
alpha_rarefaction_305_0.txt	305	0	23.20135	19.53463	22.69556	22.4868	20.87873	21.52964	21.5695	24.33714	21.29581	22.70546	24.95457	22.20206	24.36204	18.63926	20.89654	23.01823	21.92954	23.68675	23.70592	20.85831	21.19134	20.79253	21.51615	23.36374	22.28609	21.94143	22.21574	21.54963	21.82598	20.61258
alpha_rarefaction_305_1.txt	305	1	21.92916	22.76241	20.87138	21.34436	21.26724	21.80687	21.67231	20.44119	20.82976	21.89679	21.70954	21.69044	23.06495	20.5869	22.03613	24.10647	21.02422	22.34274	23.51628	21.81465	23.28233	19.45921	22.90205	24.81199	22.24436	22.17077	22.58846	23.74956	21.04013	18.57099
