	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_364_3.txt	364	3	677.0	496.666666667	836.483870968	479.108695652	748.677419355	840.857142857	465.695652174	604.65	699.34375	764.216216216	614.02173913	939.166666667	813.032258065	547.34375	818.0	587.365853659	584.692307692	867.451612903	796.1875	675.583333333	691.941176471	663.529411765	759.0	775.783783784	813.5	509.914893617	810.333333333	872.774193548	553.529411765	463.483870968
alpha_rarefaction_364_4.txt	364	4	1230.6	612.026315789	674.625	653.083333333	596.823529412	932.64	477.196078431	729.181818182	473.756756757	596.277777778	713.666666667	952.136363636	623.837209302	593.032258065	733.571428571	882.029411765	636.384615385	609.666666667	722.129032258	602.692307692	739.571428571	458.777777778	783.294117647	695.56097561	645.75	763.033333333	568.340909091	648.894736842	724.933333333	753.545454545
alpha_rarefaction_364_5.txt	364	5	753.025641026	551.394736842	527.130434783	505.162790698	739.555555556	530.0	517.914893617	691.941176471	662.774193548	794.607142857	574.5	717.25	804.25	581.15625	581.837837838	746.575	788.888888889	758.333333333	710.578947368	726.28125	765.666666667	722.933333333	718.081081081	759.857142857	733.682926829	600.5	691.033333333	558.636363636	668.0	426.135135135
alpha_rarefaction_364_6.txt	364	6	707.976744186	495.418604651	735.84375	819.551724138	696.34375	861.107142857	453.615384615	591.243243243	620.028571429	836.884615385	647.25	653.161290323	649.456521739	729.076923077	723.441176471	723.153846154	542.076923077	666.777777778	921.517241379	811.24137931	880.029411765	506.428571429	746.903225806	744.365853659	691.5	572.525	701.527777778	677.731707317	679.21875	417.193548387
alpha_rarefaction_364_7.txt	364	7	1033.0	562.075	784.65625	659.12195122	966.44	761.529411765	394.773584906	761.40625	683.21875	662.529411765	738.65	511.7	847.176470588	528.75	781.46875	706.976744186	684.033333333	747.588235294	596.87804878	894.857142857	685.023809524	589.692307692	770.322580645	948.277777778	774.783783784	691.5	637.384615385	722.75	490.394736842	515.081081081
alpha_rarefaction_364_8.txt	364	8	737.526315789	737.0	573.0	588.9	794.230769231	664.303030303	530.25	855.464285714	676.516129032	595.022222222	870.451612903	800.964285714	877.275862069	482.405405405	812.551724138	547.632653061	594.848484848	612.026315789	684.941176471	638.5	656.692307692	518.277777778	673.636363636	1078.67741935	715.2	738.885714286	594.595744681	740.0	819.896551724	494.085714286
alpha_rarefaction_364_9.txt	364	9	682.527777778	512.384615385	627.384615385	645.285714286	796.230769231	760.125	437.7	560.075	590.533333333	546.394736842	726.875	1022.07692308	781.096774194	788.517241379	592.763157895	740.405405405	562.25	703.583333333	608.885714286	756.333333333	658.076923077	548.153846154	722.75	983.90625	704.657894737	796.37037037	542.022222222	739.885714286	632.75	685.869565217
alpha_rarefaction_423_0.txt	423	0	1189.51612903	602.442307692	738.916666667	662.456521739	831.527777778	899.0	694.5	970.285714286	683.447368421	600.145833333	971.081081081	818.692307692	682.12244898	931.535714286	663.772727273	722.326086957	643.818181818	739.162162162	581.660377358	670.068181818	772.333333333	579.97826087	877.486486486	945.027027027	835.87804878	824.657894737	793.371428571	762.243902439	527.813953488	636.794117647
alpha_rarefaction_423_1.txt	423	1	925.023809524	533.519230769	777.75	826.303030303	1022.88888889	733.357142857	462.892857143	705.372093023	562.958333333	823.642857143	903.275	919.27027027	803.073170732	643.166666667	706.0	865.902439024	738.27027027	616.068181818	862.088235294	1062.5	692.170212766	685.636363636	823.0	741.02173913	823.777777778	950.757575758	659.127659574	768.046511628	657.487179487	501.081081081
alpha_rarefaction_423_2.txt	423	2	798.523809524	629.0	721.428571429	950.433333333	892.551724138	962.0	561.632653061	582.2	610.333333333	780.885714286	754.529411765	730.025	609.773584906	702.117647059	718.558139535	695.583333333	687.418604651	1001.15789474	1008.0	823.096774194	732.790697674	617.918367347	738.977272727	750.958333333	702.571428571	722.027027027	506.192307692	724.272727273	709.428571429	491.027777778
alpha_rarefaction_423_3.txt	423	3	1091.94117647	740.790697674	724.256410256	516.679245283	830.527777778	753.357142857	550.788461538	769.6	817.09375	654.8	627.784313725	759.75	807.8	675.634146341	798.459459459	613.767857143	675.634146341	696.023809524	734.081081081	748.578947368	645.204081633	929.307692308	707.8	826.568181818	700.3	723.526315789	632.518518519	839.527777778	902.615384615	677.625
